의류 ID,속성 유형,속성 값
1,스타일,캐주얼
1,category,티셔츠
1,texture,저지
2,스타일,캐주얼
2,category,티셔츠
2,detail,단추
2,texture,니트
2,print,무지
3,스타일,캐주얼
3,category,티셔츠
3,texture,니트
3,print,그래픽
4,스타일,캐주얼
4,category,니트웨어
4,detail,플리츠
4,texture,니트
4,print,무지
5,스타일,캐주얼
5,category,팬츠
5,texture,니트
5,print,무지
6,스타일,캐주얼
6,category,티셔츠
6,texture,저지
7,스타일,캐주얼
7,category,블라우스
7,texture,저지
7,print,그래픽
8,스타일,캐주얼
8,category,티셔츠
8,detail,단추
8,texture,저지
9,스타일,캐주얼
9,category,티셔츠
9,texture,니트
9,print,무지
10,스타일,컨템포러리
10,category,티셔츠
10,texture,저지
10,print,무지
11,스타일,캐주얼
11,category,티셔츠
11,texture,저지
11,print,그래픽
12,스타일,캐주얼
12,category,팬츠
12,texture,패딩
12,print,무지
13,스타일,캐주얼
13,category,티셔츠
13,texture,니트
13,print,무지
14,스타일,페미니
14,category,베스트
14,texture,니트
14,print,스트라이프
15,스타일,캐주얼
15,category,니트웨어
15,texture,니트
16,스타일,서브컬처
16,category,재킷
16,texture,저지
16,print,무지
17,스타일,캐주얼
17,category,티셔츠
17,texture,니트
17,print,무지
18,스타일,캐주얼
18,category,티셔츠
18,texture,니트
18,print,무지
19,스타일,캐주얼
19,category,티셔츠
19,detail,디스트로이드
19,texture,우븐
20,스타일,캐주얼
20,category,티셔츠
20,texture,우븐
20,print,무지
21,스타일,캐주얼
21,category,블라우스
21,texture,우븐
21,print,무지
22,스타일,캐주얼
22,category,청바지
22,texture,니트
22,print,무지
23,스타일,캐주얼
23,category,팬츠
23,detail,단추
23,texture,니트
23,print,무지
24,스타일,캐주얼
24,category,티셔츠
24,texture,니트
24,print,무지
25,스타일,내추럴
25,category,재킷
25,detail,포켓
25,texture,우븐
25,print,무지
26,스타일,클래식
26,category,티셔츠
26,texture,우븐
27,스타일,페미니
27,category,티셔츠
27,texture,우븐
27,print,무지
28,스타일,캐주얼
28,category,티셔츠
28,texture,저지
28,print,무지
29,스타일,캐주얼
29,category,티셔츠
29,texture,니트
29,print,그래픽
30,스타일,캐주얼
30,category,티셔츠
30,detail,단추
30,texture,저지
30,print,무지
31,스타일,내추럴
31,category,티셔츠
31,detail,단추
31,texture,저지
31,print,무지
32,스타일,캐주얼
32,category,티셔츠
32,texture,니트
33,스타일,캐주얼
33,category,티셔츠
33,texture,니트
33,print,무지
34,스타일,캐주얼
34,category,티셔츠
34,texture,저지
34,print,무지
35,스타일,캐주얼
35,category,니트웨어
35,texture,니트
35,print,무지
36,스타일,캐주얼
36,category,티셔츠
36,texture,니트
36,print,무지
37,스타일,캐주얼
37,category,티셔츠
37,texture,저지
38,스타일,캐주얼
38,category,티셔츠
38,texture,니트
39,스타일,캐주얼
39,category,팬츠
39,detail,자수
39,texture,저지
40,스타일,캐주얼
40,category,티셔츠
40,texture,우븐
41,스타일,컨템포러리
41,category,니트웨어
41,texture,니트
41,print,무지
42,스타일,캐주얼
42,category,팬츠
42,texture,니트
43,스타일,페미니
43,category,팬츠
43,texture,니트
43,print,무지
44,스타일,캐주얼
44,category,티셔츠
44,texture,니트
44,print,무지
45,스타일,캐주얼
45,category,티셔츠
45,texture,니트
45,print,무지
46,스타일,컨템포러리
46,category,재킷
46,texture,니트
46,print,무지
47,스타일,내추럴
47,category,티셔츠
47,detail,레이스
47,texture,저지
47,print,도트
48,스타일,캐주얼
48,category,티셔츠
48,texture,니트
49,스타일,페미니
